,city_id,quarter,literacy_rate,smartphone_penetration,internet_penetration
82,C004,2021-Q3,75.66,69.17,68.31
83,C004,2021-Q4,75.55,68.05,68.56
84,C004,2022-Q1,75.55,67.92,66.81
85,C004,2022-Q2,75.58,68.97,66.27
86,C004,2022-Q3,75.68,68.74,65.76
87,C004,2022-Q4,75.54,66.51,68.11
88,C004,2023-Q1,75.89,69.57,66.5
89,C004,2023-Q2,75.46,69.47,65.45
90,C004,2023-Q3,75.6,67.46,67.99
91,C004,2023-Q4,75.55,68.49,70.09
92,C004,2024-Q1,75.93,68.58,67.59
93,C004,2024-Q2,75.68,68.35,68.44
94,C004,2024-Q3,75.85,67.54,67.68
95,C004,2024-Q4,75.34,67.42,67.5
96,C005,2019-Q1,84.85,70.31,10.0
97,C005,2019-Q2,84.98,71.51,10.0
98,C005,2019-Q3,84.82,70.88,10.0
99,C005,2019-Q4,85.01,69.97,10.0
100,C005,2020-Q1,84.7,71.11,10.0
101,C005,2020-Q2,85.08,67.49,10.0
102,C005,2020-Q3,85.26,71.49,10.0
103,C005,2020-Q4,84.73,68.6,10.0
104,C005,2021-Q1,84.71,69.98,10.0
105,C005,2021-Q2,85.09,69.22,10.0
106,C005,2021-Q3,85.12,69.05,10.0
107,C005,2021-Q4,84.7,71.5,10.0
108,C005,2022-Q1,84.72,69.87,10.0
109,C005,2022-Q2,84.74,70.69,10.0
110,C005,2022-Q3,84.53,70.29,10.0
111,C005,2022-Q4,84.62,70.82,10.0
112,C005,2023-Q1,84.6,70.42,10.0
113,C005,2023-Q2,84.65,69.06,10.0
114,C005,2023-Q3,84.79,71.34,10.0
115,C005,2023-Q4,84.85,69.85,10.0
116,C005,2024-Q1,85.11,68.78,10.0
117,C005,2024-Q2,84.6,69.91,10.0
118,C005,2024-Q3,85.0,71.84,10.0
119,C005,2024-Q4,84.76,71.19,10.0
120,C006,2019-Q1,81.85,47.99,74.58
121,C006,2019-Q2,81.99,47.99,75.05
122,C006,2019-Q3,81.64,48.02,74.45
123,C006,2019-Q4,81.94,50.42,75.01
124,C006,2020-Q1,81.89,48.72,74.58
125,C006,2020-Q2,81.96,48.77,72.54
126,C006,2020-Q3,81.92,49.37,73.58
127,C006,2020-Q4,82.35,48.58,74.38
128,C006,2021-Q1,81.73,48.08,73.31
129,C006,2021-Q2,81.75,48.14,75.12
130,C006,2021-Q3,81.74,48.27,76.05
131,C006,2021-Q4,81.75,48.3,75.74
132,C006,2022-Q1,81.73,49.07,74.31
133,C006,2022-Q2,82.1,48.39,76.01
134,C006,2022-Q3,82.14,49.07,74.67
135,C006,2022-Q4,81.75,48.26,74.18
136,C006,2023-Q1,81.69,48.42,73.91
137,C006,2023-Q2,81.95,46.34,74.22
138,C006,2023-Q3,81.75,49.26,74.13
139,C006,2023-Q4,81.99,48.69,74.69
140,C006,2024-Q1,81.9,49.34,74.68
141,C006,2024-Q2,81.56,45.44,74.52
142,C006,2024-Q3,82.17,50.43,74.96
143,C006,2024-Q4,82.22,48.2,75.71
144,C007,2019-Q1,66.27,77.71,63.9
145,C007,2019-Q2,66.31,75.56,61.47
146,C007,2019-Q3,66.45,77.21,60.4
147,C007,2019-Q4,66.46,75.55,63.88
148,C007,2020-Q1,66.52,75.98,61.58
149,C007,2020-Q2,66.79,78.51,62.73
150,C007,2020-Q3,66.35,76.41,61.78
151,C007,2020-Q4,66.23,76.82,61.15
152,C007,2021-Q1,66.11,77.47,63.49
153,C007,2021-Q2,66.24,77.1,63.71
154,C007,2021-Q3,66.38,76.75,62.37
155,C007,2021-Q4,66.75,76.96,60.36
156,C007,2022-Q1,66.29,79.0,62.4
157,C007,2022-Q2,66.43,76.54,63.34
158,C007,2022-Q3,66.39,76.8,61.47
159,C007,2022-Q4,66.63,77.65,63.13
160,C007,2023-Q1,66.9,77.71,62.93
161,C007,2023-Q2,66.28,77.79,63.53
162,C007,2023-Q3,66.29,77.24,63.07
163,C007,2023-Q4,66.6,75.46,61.98
164,C007,2024-Q1,66.53,78.23,64.15
165,C007,2024-Q2,66.76,75.45,62.79
166,C007,2024-Q3,66.51,76.9,62.92
167,C007,2024-Q4,66.32,75.85,62.02
168,C008,2019-Q1,71.34,78.74,74.5
169,C008,2019-Q2,71.44,79.13,74.06
170,C008,2019-Q3,71.38,79.12,74.77
171,C008,2019-Q4,71.32,79.22,76.65
172,C008,2020-Q1,71.43,80.41,73.57
173,C008,2020-Q2,71.45,79.25,73.33
174,C008,2020-Q3,71.5,78.56,76.41
175,C008,2020-Q4,71.35,79.76,74.73
176,C008,2021-Q1,71.19,79.99,74.27
177,C008,2021-Q2,71.25,77.57,75.98
178,C008,2021-Q3,71.46,79.4,74.33
179,C008,2021-Q4,71.06,79.5,76.77
180,C008,2022-Q1,71.29,78.5,75.62
181,C008,2022-Q2,71.14,80.18,74.45
182,C008,2022-Q3,71.23,78.65,77.1
183,C008,2022-Q4,71.48,78.93,74.33
184,C008,2023-Q1,71.26,78.63,75.68
185,C008,2023-Q2,71.23,78.82,75.24
186,C008,2023-Q3,70.95,77.7,76.24
187,C008,2023-Q4,71.37,77.36,76.5
188,C008,2024-Q1,71.35,80.39,74.97
189,C008,2024-Q2,71.65,77.95,74.19
190,C008,2024-Q3,71.16,77.81,75.4
191,C008,2024-Q4,71.26,76.65,74.26
192,C009,2019-Q1,75.15,67.85,76.09
193,C009,2019-Q2,75.42,67.17,74.22
194,C009,2019-Q3,75.08,70.13,73.71
195,C009,2019-Q4,75.16,69.5,74.26
196,C009,2020-Q1,75.22,67.8,72.73
197,C009,2020-Q2,75.14,70.74,73.11
198,C009,2020-Q3,75.01,69.47,75.28
199,C009,2020-Q4,75.14,68.17,73.42
200,C009,2021-Q1,75.31,65.99,73.03
201,C009,2021-Q2,74.89,70.78,74.62
202,C009,2021-Q3,75.13,67.1,75.27
203,C009,2021-Q4,74.96,66.84,74.8
204,C009,2022-Q1,75.34,69.51,75.08
205,C009,2022-Q2,74.8,70.93,73.32
206,C009,2022-Q3,74.99,69.87,72.66
207,C009,2022-Q4,75.18,69.05,75.58
208,C009,2023-Q1,75.41,69.08,73.76
209,C009,2023-Q2,75.09,69.34,73.83
210,C009,2023-Q3,74.99,69.25,75.41
211,C009,2023-Q4,75.48,68.77,74.64
212,C009,2024-Q1,74.81,68.59,74.54
213,C009,2024-Q2,74.66,68.43,76.25
214,C009,2024-Q3,75.19,67.74,73.44
215,C009,2024-Q4,75.0,68.21,75.01
216,C010,2019-Q1,70.5,75.62,74.61
217,C010,2019-Q2,70.84,77.21,74.82
218,C010,2019-Q3,70.75,76.32,76.08
219,C010,2019-Q4,70.59,76.21,75.06
220,C010,2020-Q1,70.44,77.49,75.09
221,C010,2020-Q2,70.87,78.7,75.62
222,C010,2020-Q3,70.83,78.23,74.19
223,C010,2020-Q4,70.68,75.74,73.71
224,C010,2021-Q1,71.07,76.32,73.51
225,C010,2021-Q2,70.49,78.25,72.58
226,C010,2021-Q3,70.39,76.33,76.61
227,C010,2021-Q4,70.56,77.09,73.45
228,C010,2022-Q1,70.69,77.86,74.33
229,C010,2022-Q2,70.75,76.34,74.27
230,C010,2022-Q3,70.65,77.42,74.86
231,C010,2022-Q4,70.77,75.98,75.37
232,C010,2023-Q1,70.45,76.71,75.41
233,C010,2023-Q2,70.99,77.63,73.97
234,C010,2023-Q3,70.68,75.72,74.38
235,C010,2023-Q4,70.92,77.75,74.83
236,C010,2024-Q1,70.77,77.29,74.3
237,C010,2024-Q2,70.79,77.86,76.16
238,C010,2024-Q3,70.81,77.53,75.04
239,C010,2024-Q4,70.79,78.67,75.28
