edition_id,ad_category,quarter,ad_revenue,currency,comments
ED1002,A003,2024-Q2,1245991,INR,Festive push
ED1001,A002,Q1-2023,1295165,INR,New FMCG client onboarded
ED1010,A004,2024-Q2,3119807,INR,
ED1006,A001,Q3-2023,4624468,INR,
ED1002,A001,Q1-2019,1982122,IN RUPEES,
ED1005,A001,Q3-2023,3430992,INR,
ED1009,A004,4th Qtr 2020,25800.81,EUR,
ED1010,A001,2019-Q2,51151.89,USD,
ED1002,A001,2019-Q2,3111682,INR,
ED1008,A003,Q3-2020,41630.06,EUR,
ED1010,A002,Q1-2021,3077410,INR,
ED1007,A002,2019-Q2,1537804,INR,
ED1009,A003,2020-Q2,3950094,INR,
ED1002,A001,4th Qtr 2023,1158282,INR,
ED1005,A001,2024-Q2,3610193,INR,
ED1003,A002,Q3-2024,4525881,INR,
ED1003,A001,4th Qtr 2024,1557675,INR,
ED1002,A001,Q1-2020,42184.81,USD,
ED1005,A003,2022-Q2,36630.11,EUR,
ED1008,A004,2021-Q2,2501403,IN RUPEES,
ED1001,A003,4th Qtr 2019,1890078,INR,
ED1002,A003,Q3-2019,1433751,INR,
ED1006,A002,4th Qtr 2021,30096.2,EUR,
ED1004,A001,4th Qtr 2021,4335023,INR,
ED1002,A004,Q1-2021,2639961,INR,
ED1010,A001,Q3-2019,1918764,INR,
ED1003,A001,4th Qtr 2019,21393.41,EUR,
ED1008,A003,4th Qtr 2020,1837077,INR,
ED1009,A004,Q3-2020,2947293,INR,
ED1010,A001,Q3-2020,49269.6,USD,
ED1006,A003,Q1-2023,3928163,INR,
ED1002,A002,4th Qtr 2019,20040.84,USD,
ED1006,A001,4th Qtr 2020,1282723,INR,
ED1003,A001,2019-Q2,3213538,IN RUPEES,
ED1008,A001,Q3-2021,2523860,INR,
ED1009,A001,2019-Q2,46429.08,EUR,
ED1005,A001,Q3-2023,4085719,INR,
ED1010,A003,Q3-2024,4763723,INR,
ED1004,A002,Q3-2021,3079147,INR,
ED1008,A002,2021-Q2,3852657,INR,Real estate slowdown
ED1005,A001,Q3-2020,49897.98,USD,
ED1003,A002,Q1-2023,3981935,IN RUPEES,
ED1005,A001,4th Qtr 2019,3826439,INR,
ED1001,A003,Q3-2021,4270354,INR,
ED1007,A004,4th Qtr 2024,1153858,INR,
ED1008,A001,4th Qtr 2022,3729500,INR,
ED1004,A001,2020-Q2,2759067,INR,
ED1007,A003,Q1-2021,1940221,INR,
ED1010,A002,Q1-2020,14187.22,EUR,
ED1004,A001,Q3-2020,22253.79,EUR,
ED1001,A003,Q3-2023,3552316,INR,New FMCG client onboarded
ED1003,A003,2024-Q2,3459556,INR,
ED1005,A003,Q1-2023,1351953,INR,
ED1003,A002,Q3-2021,1691552,INR,
ED1005,A002,Q1-2024,1142518,IN RUPEES,
ED1002,A004,2019-Q2,2528929,INR,
ED1001,A001,Q1-2019,26280.06,USD,
ED1008,A003,Q3-2022,4520446,INR,
ED1002,A004,Q1-2022,4720623,INR,
ED1005,A003,2019-Q2,3322438,IN RUPEES,
ED1010,A004,Q3-2024,2246906,INR,
ED1005,A001,4th Qtr 2020,23367.57,EUR,
ED1005,A004,2024-Q2,16719.09,EUR,
ED1003,A002,2024-Q2,59387.54,USD,
ED1005,A004,4th Qtr 2024,56656.18,USD,
ED1003,A003,Q1-2022,1554365,INR,
ED1004,A003,Q3-2020,2928356,INR,
ED1004,A002,4th Qtr 2019,4826050,INR,
ED1010,A004,4th Qtr 2019,3321909,INR,
ED1002,A004,4th Qtr 2022,3227168,INR,
ED1007,A001,Q3-2020,2411207,IN RUPEES,
ED1009,A002,4th Qtr 2022,35852.82,USD,
ED1002,A003,Q3-2020,2557019,INR,
ED1008,A004,4th Qtr 2019,1722331,INR,
ED1005,A002,2022-Q2,1962224,IN RUPEES,
ED1006,A003,2020-Q2,3737166,INR,
ED1001,A002,Q1-2024,37534.53,EUR,
ED1009,A004,2019-Q2,4958821,INR,
ED1001,A004,Q3-2021,1657516,INR,
ED1001,A004,4th Qtr 2024,3845449,INR,
ED1006,A001,Q1-2022,1744690,INR,
ED1009,A001,4th Qtr 2022,4564855,INR,
ED1001,A004,Q3-2022,11891.54,EUR,
ED1005,A001,Q3-2019,3003364,INR,
ED1001,A001,4th Qtr 2024,2534011,IN RUPEES,
ED1006,A002,2021-Q2,2946807,INR,
ED1010,A003,2019-Q2,13495.47,USD,
ED1009,A004,Q1-2020,13526.54,EUR,
ED1007,A002,Q3-2021,12470.92,EUR,
ED1010,A003,Q1-2021,3846340,IN RUPEES,
ED1006,A001,Q1-2024,4998136,INR,
ED1004,A004,2019-Q2,3832278,IN RUPEES,
ED1008,A004,Q1-2023,44367.25,USD,
ED1005,A001,4th Qtr 2022,43816.46,USD,
ED1010,A004,Q1-2024,1583347,INR,
ED1002,A002,2024-Q2,1298949,IN RUPEES,
ED1001,A001,Q3-2019,4524919,INR,
ED1004,A003,Q3-2019,2571209,INR,
ED1003,A001,Q3-2020,3230011,INR,Festive push
ED1003,A003,4th Qtr 2020,1592124,INR,
ED1003,A004,Q3-2023,44750.74,EUR,
ED1002,A003,Q1-2024,4511324,INR,
ED1007,A004,4th Qtr 2024,4017641,INR,
ED1006,A001,4th Qtr 2021,36311.26,EUR,
ED1001,A001,2022-Q2,2794391,INR,
ED1002,A002,Q1-2022,2756304,INR,
ED1009,A004,Q3-2024,4704138,INR,
ED1001,A004,Q3-2023,4760181,INR,
ED1003,A004,Q1-2020,4967293,IN RUPEES,
ED1007,A001,Q3-2021,37898.14,USD,
ED1005,A001,Q1-2022,43994.16,USD,
ED1008,A003,2021-Q2,40375.03,EUR,
ED1001,A003,Q1-2021,3639758,INR,
ED1008,A003,Q1-2022,3344710,INR,
ED1004,A003,Q3-2022,3383607,INR,
ED1008,A003,4th Qtr 2022,17798.29,USD,
ED1005,A003,Q1-2020,20528.2,EUR,
ED1006,A003,4th Qtr 2024,2926883,INR,
ED1002,A003,Q1-2022,3019429,INR,
ED1002,A004,4th Qtr 2019,3136084,INR,
ED1001,A002,2023-Q2,1013534,INR,
ED1010,A002,Q3-2021,38031.75,USD,
ED1009,A004,Q1-2019,1729353,INR,
ED1009,A004,Q1-2020,4877131,IN RUPEES,
ED1004,A003,2024-Q2,50693.47,USD,
ED1004,A001,2022-Q2,28096.59,EUR,
ED1009,A001,2024-Q2,26211.27,EUR,
ED1005,A002,Q3-2021,3851157,IN RUPEES,
ED1001,A001,Q3-2020,2333715,IN RUPEES,
ED1004,A002,2021-Q2,2403007,INR,
ED1006,A003,4th Qtr 2021,27882.13,EUR,
ED1009,A001,2021-Q2,21809.33,USD,
ED1007,A002,Q3-2024,1706575,INR,
ED1001,A001,Q1-2024,59196.84,USD,
ED1003,A001,Q1-2022,33478.51,USD,
ED1008,A001,Q1-2019,1945999,INR,
ED1001,A002,2021-Q2,2506056,INR,
ED1003,A004,Q1-2024,3996707,INR,
ED1010,A001,2023-Q2,2911019,INR,
ED1004,A003,Q1-2023,2686607,IN RUPEES,
ED1005,A003,Q3-2024,3801474,INR,
ED1007,A001,Q1-2022,3985309,INR,
ED1010,A001,Q3-2020,49752.39,USD,
ED1007,A001,2020-Q2,2348389,IN RUPEES,
ED1007,A003,Q1-2019,4953284,INR,
ED1009,A001,Q3-2022,3605109,IN RUPEES,
ED1004,A004,2022-Q2,2320062,INR,
ED1005,A004,2024-Q2,4816160,INR,
ED1007,A003,Q3-2019,2332937,INR,
ED1003,A002,Q3-2021,4699320,INR,
ED1004,A003,4th Qtr 2020,3249448,INR,
ED1006,A001,Q3-2024,4255942,IN RUPEES,
ED1002,A001,2024-Q2,1465133,IN RUPEES,
ED1003,A004,2023-Q2,4537278,INR,
ED1010,A004,Q1-2021,47341.75,USD,
ED1003,A004,Q3-2020,2155154,INR,
ED1005,A002,Q3-2024,47952.71,EUR,
ED1009,A004,Q3-2023,1464311,INR,
ED1007,A002,Q1-2022,1488118,INR,
ED1009,A001,Q1-2019,2337161,INR,
ED1007,A002,Q1-2022,2247318,INR,
ED1005,A003,Q3-2021,4888599,INR,
ED1008,A004,Q3-2021,1460599,IN RUPEES,
ED1002,A003,Q3-2021,39951.23,EUR,
ED1002,A004,Q3-2022,4838223,INR,
ED1010,A001,2021-Q2,36990.61,EUR,
ED1003,A003,Q3-2024,1298402,INR,
ED1009,A001,4th Qtr 2024,4987124,INR,
ED1006,A001,4th Qtr 2020,59784.89,USD,
ED1002,A003,Q3-2020,41752.86,USD,
ED1001,A003,Q3-2019,3740973,INR,
ED1002,A001,2020-Q2,2961688,INR,
ED1008,A003,2022-Q2,1665511,INR,
ED1010,A003,2022-Q2,16152.36,USD,
ED1008,A003,4th Qtr 2021,2351298,INR,
ED1008,A004,4th Qtr 2022,2521142,INR,
ED1009,A002,4th Qtr 2020,34789.14,USD,
ED1010,A003,Q1-2023,3899226,INR,
ED1002,A003,Q3-2024,45241.17,EUR,
ED1001,A003,2021-Q2,2543139,INR,Govt. reduced ad spend
ED1001,A001,Q3-2022,3721926,INR,
ED1001,A004,Q3-2022,1225358,IN RUPEES,
ED1002,A002,Q1-2019,2499244,INR,
ED1003,A003,4th Qtr 2020,4134867,INR,
ED1008,A004,2023-Q2,14771.42,USD,
ED1009,A003,2023-Q2,1897920,INR,
ED1001,A001,Q3-2024,3069870,INR,
ED1001,A001,4th Qtr 2019,52793.56,EUR,
ED1005,A004,Q1-2022,42132.88,USD,
ED1009,A001,4th Qtr 2019,3467112,INR,
ED1003,A003,4th Qtr 2021,4248571,INR,
ED1004,A004,4th Qtr 2024,4266866,INR,
ED1008,A002,Q3-2022,2997151,INR,
ED1007,A001,Q1-2019,2977322,INR,
ED1010,A002,Q1-2022,15811.29,USD,
ED1007,A003,Q3-2020,2702224,INR,
ED1003,A001,4th Qtr 2021,4013954,INR,
ED1008,A001,4th Qtr 2019,2231616,INR,Price hike concern
ED1010,A004,Q1-2019,1241017,INR,
ED1002,A003,4th Qtr 2019,4972321,IN RUPEES,
ED1004,A002,Q1-2019,4062573,INR,
ED1007,A002,2023-Q2,3266025,INR,
ED1008,A002,2019-Q2,4837738,INR,
ED1007,A002,4th Qtr 2021,18674.2,EUR,
ED1009,A004,4th Qtr 2022,4788760,INR,
ED1009,A004,4th Qtr 2023,1291000,INR,
ED1006,A004,Q1-2024,41204.1,EUR,Seasonal drop in demand
ED1002,A004,Q3-2019,4715699,INR,
ED1001,A003,4th Qtr 2020,2221235,IN RUPEES,
ED1001,A004,2020-Q2,4191570,INR,
ED1006,A003,2023-Q2,57934.25,USD,
ED1007,A004,Q1-2020,46908.53,USD,Real estate slowdown
ED1004,A003,4th Qtr 2023,4925856,INR,
ED1004,A003,Q3-2021,3419540,INR,
ED1005,A003,Q3-2019,59751.6,USD,
ED1008,A003,Q1-2021,4324602,INR,
ED1007,A001,Q3-2023,2589267,INR,
ED1004,A003,Q1-2023,49486.83,EUR,
ED1006,A002,Q3-2020,15537.52,EUR,
ED1005,A003,Q3-2022,2724025,INR,
ED1005,A004,4th Qtr 2022,11305,EUR,
ED1006,A001,2024-Q2,1167061,INR,
ED1001,A002,4th Qtr 2019,3587082,INR,
ED1004,A001,4th Qtr 2021,4818857,INR,
ED1001,A001,4th Qtr 2020,1549024,INR,
ED1004,A002,2019-Q2,1288919,INR,
ED1009,A002,2023-Q2,2110041,INR,
ED1010,A001,Q3-2023,3913874,INR,
ED1006,A003,Q1-2019,22285.93,USD,Govt. reduced ad spend
ED1009,A002,Q1-2021,37279.1,USD,
ED1003,A003,4th Qtr 2023,3053015,INR,
ED1006,A004,4th Qtr 2024,20895.01,EUR,
ED1002,A004,4th Qtr 2020,4202938,INR,
ED1008,A003,Q3-2023,1402920,INR,
ED1004,A002,Q3-2024,51059.8,EUR,
ED1006,A003,4th Qtr 2022,3648057,INR,
ED1003,A001,2022-Q2,4024129,INR,
ED1009,A001,2019-Q2,2242474,INR,
ED1005,A001,Q1-2021,58585.23,USD,
ED1003,A004,4th Qtr 2019,1446422,INR,
ED1002,A003,2019-Q2,39841.8,USD,
ED1006,A002,Q1-2019,1634846,INR,
ED1004,A003,Q1-2024,4887198,INR,
ED1001,A004,Q3-2024,3134304,INR,
ED1006,A003,Q1-2023,2592351,INR,
ED1003,A004,Q3-2022,2253751,IN RUPEES,
ED1004,A003,Q3-2023,49331.19,USD,
ED1004,A004,Q3-2020,3012509,INR,Govt. reduced ad spend
ED1002,A002,2020-Q2,1330897,INR,
ED1009,A002,4th Qtr 2021,1568681,INR,
ED1002,A002,4th Qtr 2022,1697820,IN RUPEES,
ED1002,A002,2023-Q2,4180639,IN RUPEES,
ED1009,A002,Q1-2020,3922189,IN RUPEES,
ED1005,A003,Q1-2019,2915863,INR,
ED1004,A002,4th Qtr 2020,1901392,INR,
ED1001,A004,Q1-2019,1157667,INR,
ED1010,A003,2024-Q2,2070061,INR,
ED1005,A001,Q3-2022,2801446,INR,Real estate slowdown
ED1008,A001,Q1-2020,2577548,INR,Seasonal drop in demand
ED1006,A004,4th Qtr 2019,4269401,INR,
ED1004,A001,Q1-2024,4680238,INR,
ED1002,A001,Q3-2022,3183906,INR,
ED1004,A002,Q1-2020,1363891,INR,
ED1005,A002,4th Qtr 2022,1539522,INR,
ED1005,A003,4th Qtr 2023,23255.31,EUR,
ED1004,A002,4th Qtr 2023,4114010,INR,
ED1010,A003,2022-Q2,1967075,INR,
ED1003,A004,Q1-2019,26820.32,EUR,
ED1006,A004,2023-Q2,38727.36,USD,
ED1006,A002,Q3-2022,3740502,INR,
ED1010,A001,Q1-2019,1568648,INR,
ED1008,A004,Q3-2020,20679.37,EUR,
ED1004,A001,2023-Q2,3872634,IN RUPEES,
ED1007,A001,2024-Q2,51413.87,EUR,
ED1005,A001,Q3-2020,51301.63,EUR,Festive push
ED1005,A004,4th Qtr 2020,2346714,IN RUPEES,
ED1001,A004,4th Qtr 2022,1700429,INR,
ED1004,A001,4th Qtr 2022,1730145,INR,
ED1003,A001,2023-Q2,34339.28,EUR,
ED1010,A003,4th Qtr 2024,1788698,INR,
ED1009,A003,Q1-2021,3652377,INR,
ED1002,A002,4th Qtr 2021,2362968,INR,
ED1007,A003,Q1-2024,38350.06,EUR,
ED1008,A004,4th Qtr 2021,1943532,INR,
ED1005,A003,Q1-2024,3299534,INR,
ED1002,A004,2021-Q2,55147.91,EUR,
ED1006,A001,2022-Q2,23685.67,EUR,
ED1009,A002,Q3-2024,2545604,INR,
ED1008,A001,2020-Q2,23110.02,USD,
ED1006,A002,Q1-2019,4673238,INR,
ED1003,A003,4th Qtr 2021,2257263,INR,
ED1005,A001,2020-Q2,37692.81,EUR,
ED1009,A004,2022-Q2,3795400,INR,
ED1010,A003,Q3-2022,30933.67,EUR,
ED1003,A001,2019-Q2,4636340,INR,
ED1002,A003,2023-Q2,29249.16,USD,
ED1008,A004,2024-Q2,1139960,IN RUPEES,
ED1009,A001,Q1-2023,4601761,INR,
ED1003,A002,2022-Q2,3429276,INR,
ED1010,A003,Q3-2022,1813545,INR,
ED1006,A003,2024-Q2,4734800,INR,
ED1006,A002,4th Qtr 2019,3038452,INR,
ED1010,A002,Q1-2024,2432030,IN RUPEES,
ED1008,A004,Q1-2020,3167891,INR,
ED1005,A004,4th Qtr 2021,2067307,INR,
ED1010,A002,Q3-2023,3008673,INR,
ED1002,A003,4th Qtr 2024,30410.39,USD,
ED1002,A004,4th Qtr 2024,1736314,INR,
ED1006,A001,2024-Q2,20777.43,EUR,
ED1005,A001,Q3-2021,35180.25,USD,
ED1001,A003,Q3-2020,3607897,IN RUPEES,
ED1003,A003,2021-Q2,2319824,INR,Price hike concern
ED1009,A002,Q3-2019,3683837,INR,
ED1005,A003,Q1-2021,4958980,INR,
ED1010,A003,4th Qtr 2020,4013324,INR,
ED1001,A001,Q1-2020,2196738,INR,
ED1005,A001,2020-Q2,21143.66,EUR,
ED1005,A004,Q3-2024,3124393,INR,Govt. reduced ad spend
ED1001,A002,Q1-2021,15187.66,EUR,
ED1008,A003,Q3-2021,3602288,IN RUPEES,
ED1003,A002,Q1-2021,35624.82,EUR,
ED1001,A001,Q1-2022,2467151,INR,
ED1008,A001,Q3-2024,1440157,INR,
ED1004,A003,2021-Q2,23117.24,USD,
ED1005,A003,4th Qtr 2019,39529.81,USD,
ED1007,A001,4th Qtr 2021,2910074,INR,
ED1004,A004,Q3-2023,3464732,INR,New FMCG client onboarded
ED1003,A001,4th Qtr 2019,41749.7,EUR,
ED1002,A002,Q3-2023,49986.7,USD,
ED1010,A003,Q3-2021,2361346,INR,Price hike concern
ED1005,A002,2023-Q2,4410443,INR,
ED1004,A001,4th Qtr 2024,4810814,INR,
ED1002,A002,2022-Q2,4984162,INR,
ED1006,A001,Q1-2022,2236757,INR,
ED1003,A003,2021-Q2,4221131,INR,
ED1008,A001,Q3-2019,3072966,INR,
ED1010,A004,Q1-2023,2331273,INR,
ED1001,A002,4th Qtr 2023,4878582,INR,
ED1010,A003,4th Qtr 2019,1433676,INR,
ED1004,A001,Q3-2019,4477898,INR,
ED1004,A004,2024-Q2,3762752,INR,
ED1001,A003,2020-Q2,3106488,IN RUPEES,
ED1010,A003,4th Qtr 2024,1971646,IN RUPEES,
ED1005,A004,4th Qtr 2021,4560605,INR,
ED1004,A002,2022-Q2,52645.82,EUR,
ED1007,A003,2020-Q2,1113633,INR,
ED1010,A004,2022-Q2,3171928,INR,
ED1003,A002,4th Qtr 2022,4872915,INR,
ED1008,A002,4th Qtr 2024,4506722,INR,
ED1009,A001,4th Qtr 2023,4786886,INR,
ED1007,A003,2019-Q2,51670.81,EUR,
ED1002,A003,4th Qtr 2020,2708457,INR,
ED1003,A002,Q1-2022,4550543,INR,
ED1005,A003,Q1-2020,1069470,INR,
ED1010,A001,4th Qtr 2023,1717472,INR,
ED1008,A001,Q1-2021,2650525,IN RUPEES,
ED1007,A003,Q3-2023,2937499,INR,
ED1007,A003,2023-Q2,1917336,INR,
ED1009,A001,4th Qtr 2023,21744.55,USD,
ED1009,A003,Q3-2020,1446083,INR,
ED1001,A003,2019-Q2,2783959,INR,
ED1010,A004,4th Qtr 2023,22582.33,EUR,
ED1001,A004,4th Qtr 2022,2257381,INR,
ED1006,A004,Q3-2024,1448247,IN RUPEES,
ED1008,A003,Q1-2022,1589196,INR,
ED1003,A001,2021-Q2,16475.22,USD,
ED1001,A001,2020-Q2,1548511,INR,
ED1001,A003,Q1-2023,1621044,INR,Price hike concern
ED1010,A002,4th Qtr 2022,4967832,INR,
ED1010,A001,4th Qtr 2019,1889735,INR,
ED1001,A004,2019-Q2,2173878,INR,
ED1007,A003,Q1-2023,3509884,INR,
ED1007,A003,4th Qtr 2019,54711.36,USD,
ED1005,A004,2021-Q2,2267404,INR,
ED1010,A003,Q1-2020,2435643,INR,
ED1004,A001,Q3-2024,3823559,IN RUPEES,
ED1002,A003,Q1-2021,4173283,INR,
ED1004,A003,4th Qtr 2024,2938517,INR,
ED1007,A002,4th Qtr 2019,1370821,INR,
ED1004,A001,4th Qtr 2019,4016088,INR,
ED1001,A001,Q1-2021,48110.01,EUR,
ED1010,A004,2020-Q2,3061306,INR,
ED1004,A003,4th Qtr 2022,3494727,INR,
ED1001,A002,Q1-2023,30228.93,EUR,
ED1006,A001,2019-Q2,3890750,IN RUPEES,
ED1004,A003,Q1-2020,3304212,INR,
ED1001,A003,Q1-2022,24385.07,EUR,
ED1003,A002,Q1-2020,33546.32,EUR,
ED1004,A001,4th Qtr 2020,3816051,INR,
ED1010,A002,Q3-2022,15046.42,EUR,
ED1006,A004,Q1-2020,38802.59,EUR,
ED1006,A003,4th Qtr 2019,33936.51,EUR,
ED1003,A001,Q3-2021,48218.2,EUR,
ED1009,A003,4th Qtr 2021,49280.83,EUR,
ED1002,A003,Q3-2023,3689392,IN RUPEES,
ED1008,A003,Q1-2021,22624.54,EUR,
ED1003,A001,Q1-2023,4893012,INR,
ED1009,A002,Q1-2022,3964411,INR,
ED1009,A001,Q3-2022,2342218,INR,
ED1007,A004,Q1-2021,3862439,INR,
ED1010,A004,4th Qtr 2020,4980925,INR,
ED1007,A002,Q1-2023,1421291,IN RUPEES,
ED1010,A001,4th Qtr 2022,2364194,INR,
ED1009,A001,4th Qtr 2020,2968799,INR,
ED1009,A003,Q3-2022,55165.43,EUR,
ED1001,A001,Q3-2024,4582286,INR,
ED1007,A004,2022-Q2,34710.31,EUR,
ED1003,A004,Q1-2021,2316140,IN RUPEES,
ED1007,A001,Q1-2020,3497742,IN RUPEES,
ED1007,A003,4th Qtr 2022,4780497,INR,
ED1003,A003,Q3-2020,3877434,INR,
ED1005,A002,4th Qtr 2020,49535.57,USD,
ED1003,A001,Q1-2023,3185748,INR,
ED1008,A003,Q3-2019,2873833,INR,Real estate slowdown
ED1006,A003,2019-Q2,1422981,IN RUPEES,
ED1006,A003,4th Qtr 2020,55483.16,USD,
ED1010,A003,Q1-2019,2035190,INR,
ED1008,A002,2020-Q2,22813.23,EUR,
ED1003,A004,Q3-2019,4985211,IN RUPEES,
ED1007,A001,Q1-2023,2006650,INR,
ED1007,A002,2024-Q2,3620989,INR,
ED1004,A004,4th Qtr 2019,3442364,INR,
ED1009,A003,2022-Q2,1813467,INR,
ED1009,A001,2020-Q2,4981686,INR,Price hike concern
ED1002,A004,Q3-2021,33423.65,USD,
ED1006,A002,Q1-2024,24914.08,USD,
ED1006,A001,4th Qtr 2023,4468958,INR,Festive push
ED1010,A002,Q3-2019,34801.63,EUR,
ED1008,A004,2022-Q2,37911.13,EUR,
ED1002,A003,Q1-2019,1126588,INR,
ED1002,A001,Q3-2022,4175234,INR,
ED1006,A001,4th Qtr 2022,3108487,INR,
ED1010,A003,4th Qtr 2022,1962982,IN RUPEES,
ED1002,A003,4th Qtr 2022,4966317,INR,
ED1001,A003,2023-Q2,4669703,INR,
ED1003,A001,Q3-2019,4007884,INR,
ED1006,A003,Q3-2022,23576.39,EUR,
ED1010,A003,2021-Q2,3085027,INR,
ED1003,A001,2024-Q2,2343727,INR,
ED1007,A003,4th Qtr 2023,23946.39,EUR,
ED1008,A001,4th Qtr 2019,4297881,INR,
ED1007,A001,Q3-2024,4676770,INR,
ED1008,A004,Q1-2023,4986784,IN RUPEES,
ED1001,A004,Q3-2019,2410985,INR,
ED1009,A001,Q3-2019,2121905,INR,Seasonal drop in demand
ED1001,A001,Q1-2022,29408.76,EUR,
ED1007,A001,Q3-2020,1651218,INR,
ED1002,A002,Q3-2024,13010.41,USD,
ED1004,A003,Q1-2022,1805533,INR,
ED1005,A004,2020-Q2,4342961,INR,
ED1009,A001,4th Qtr 2019,4946735,IN RUPEES,
ED1008,A004,2022-Q2,2400998,IN RUPEES,
ED1006,A001,Q3-2019,13498.81,EUR,
ED1001,A003,4th Qtr 2023,1935650,INR,
ED1002,A003,2022-Q2,1132827,INR,
ED1008,A003,Q1-2020,1284777,INR,
ED1008,A002,4th Qtr 2020,1144678,INR,
ED1009,A001,2024-Q2,3173394,INR,
ED1004,A002,4th Qtr 2022,1148038,INR,
ED1009,A001,2021-Q2,2275804,INR,
ED1005,A002,4th Qtr 2019,23777.63,EUR,
ED1007,A001,4th Qtr 2022,34206.77,USD,
ED1006,A003,Q3-2023,43606.69,USD,
ED1003,A001,Q3-2019,4456931,INR,
ED1007,A002,Q1-2019,4532792,INR,
ED1008,A003,Q3-2024,2913507,INR,
ED1007,A003,Q3-2019,25419.59,EUR,
ED1010,A001,4th Qtr 2021,22988.17,EUR,
ED1004,A003,Q1-2023,2164635,INR,
ED1009,A004,Q1-2023,42391.37,USD,
ED1005,A001,4th Qtr 2024,2911066,INR,
ED1009,A002,Q1-2024,2835620,INR,
ED1007,A004,Q3-2023,27144.1,EUR,
ED1003,A002,2019-Q2,1889084,INR,
ED1003,A001,Q1-2019,2958468,INR,
ED1008,A004,4th Qtr 2020,4540171,INR,
ED1010,A003,Q3-2020,4185890,INR,
ED1008,A002,4th Qtr 2021,2511683,INR,
ED1005,A001,Q1-2024,3635048,INR,
ED1007,A004,Q3-2021,3994862,INR,
ED1005,A003,Q1-2022,3257281,IN RUPEES,
ED1003,A002,Q3-2022,4246611,IN RUPEES,
ED1002,A001,2023-Q2,1007440,INR,
ED1009,A003,4th Qtr 2021,2446120,INR,
ED1002,A003,4th Qtr 2024,4493893,INR,
ED1010,A001,Q1-2022,1048719,IN RUPEES,
ED1003,A002,2023-Q2,2682267,INR,
ED1004,A004,2024-Q2,4408072,INR,
ED1005,A001,2019-Q2,1441950,IN RUPEES,
ED1006,A003,2022-Q2,2973670,INR,
ED1002,A003,Q1-2023,49507.6,USD,
ED1003,A003,2022-Q2,4711892,INR,
ED1003,A002,4th Qtr 2023,1602294,INR,
ED1007,A003,Q3-2019,1040707,INR,
ED1004,A001,Q3-2021,3602816,INR,
ED1006,A002,Q3-2023,3736649,INR,
ED1009,A003,Q1-2024,3068334,INR,
ED1002,A001,4th Qtr 2023,4557145,INR,
ED1006,A001,Q3-2022,2584494,INR,
ED1010,A001,Q3-2021,45408.87,EUR,
ED1008,A003,Q3-2023,59989.33,USD,
ED1004,A003,2019-Q2,2572015,INR,
ED1010,A002,2019-Q2,18776.23,EUR,
ED1009,A003,2021-Q2,4684030,INR,
ED1010,A004,Q3-2019,24847.89,USD,
ED1009,A003,Q3-2020,1371953,INR,
ED1006,A003,Q1-2021,32130.26,EUR,Price hike concern
ED1010,A002,Q1-2023,3081065,IN RUPEES,
ED1008,A001,2019-Q2,38480.02,EUR,
ED1004,A003,2023-Q2,4961514,INR,
ED1007,A002,4th Qtr 2019,3446022,IN RUPEES,
ED1007,A003,2024-Q2,44813.64,USD,
ED1002,A004,2022-Q2,3894529,INR,
ED1004,A001,2020-Q2,1711910,INR,
ED1009,A003,Q1-2023,19196.84,USD,
